date	corn
01/01/01	2.10
01/02/01	2.07
01/03/01	2.09
01/04/01	2.09
01/05/01	2.04
01/08/01	2.04
01/09/01	2.07
01/10/01	2.08
01/11/01	2.02
01/12/01	1.98
01/15/01	1.98
01/16/01	1.95
01/17/01	1.96
01/18/01	1.96
01/19/01	1.93
01/22/01	1.93
01/23/01	1.94
01/24/01	1.95
01/25/01	1.93
01/26/01	1.89
01/29/01	1.88
01/30/01	1.88
01/31/01	1.89
02/01/01	1.92
02/02/01	1.94
02/05/01	1.93
02/06/01	1.97
02/07/01	1.95
02/08/01	1.92
02/09/01	1.92
02/12/01	1.93
02/13/01	1.94
02/14/01	1.97
02/15/01	1.97
02/16/01	1.96
02/19/01	1.96
02/20/01	1.96
02/21/01	1.96
02/22/01	1.96
02/23/01	1.95
02/26/01	1.96
02/27/01	1.97
02/28/01	2.00
03/01/01	2.00
03/02/01	2.00
03/05/01	2.01
03/06/01	2.00
03/07/01	1.98
03/08/01	1.98
03/09/01	1.98
03/12/01	1.99
03/13/01	1.98
03/14/01	1.94
03/15/01	1.87
03/16/01	1.84
03/19/01	1.85
03/20/01	1.88
03/21/01	1.86
03/22/01	1.83
03/23/01	1.83
03/26/01	1.88
03/27/01	1.90
03/28/01	1.88
03/29/01	1.87
03/30/01	1.83
04/02/01	1.88
04/03/01	1.90
04/04/01	1.92
04/05/01	1.92
04/06/01	1.90
04/09/01	1.91
04/10/01	1.89
04/11/01	1.91
04/12/01	1.93
04/13/01	1.93
04/16/01	1.94
04/17/01	1.91
04/18/01	1.91
04/19/01	1.86
04/20/01	1.84
04/23/01	1.79
04/24/01	1.78
04/25/01	1.79
04/26/01	1.83
04/27/01	1.79
04/30/01	1.82
05/01/01	1.82
05/02/01	1.83
05/03/01	1.84
05/04/01	1.85
05/07/01	1.83
05/08/01	1.81
05/09/01	1.82
05/10/01	1.75
05/11/01	1.74
05/14/01	1.80
05/15/01	1.80
05/16/01	1.80
05/17/01	1.79
05/18/01	1.78
05/21/01	1.74
05/22/01	1.70
05/23/01	1.71
05/24/01	1.73
05/25/01	1.72
05/28/01	1.72
05/29/01	1.71
05/30/01	1.72
05/31/01	1.75
06/01/01	1.79
06/04/01	1.77
06/05/01	1.77
06/06/01	1.81
06/07/01	1.81
06/08/01	1.79
06/11/01	1.79
06/12/01	1.77
06/13/01	1.78
06/14/01	1.77
06/15/01	1.73
06/18/01	1.73
06/19/01	1.76
06/20/01	1.74
06/21/01	1.72
06/22/01	1.71
06/25/01	1.69
06/26/01	1.70
06/27/01	1.73
06/28/01	1.74
06/29/01	1.74
07/02/01	1.76
07/03/01	1.79
07/04/01	1.79
07/05/01	1.84
07/06/01	1.85
07/09/01	1.89
07/10/01	1.93
07/11/01	2.00
07/12/01	2.07
07/13/01	1.98
07/16/01	1.91
07/17/01	1.99
07/18/01	1.91
07/19/01	1.92
07/20/01	1.84
07/23/01	1.85
07/24/01	1.91
07/25/01	1.96
07/26/01	1.95
07/27/01	1.98
07/30/01	1.96
07/31/01	1.98
08/01/01	1.94
08/02/01	1.93
08/03/01	1.92
08/06/01	1.94
08/07/01	1.98
08/08/01	1.98
08/09/01	2.01
08/10/01	2.04
08/13/01	2.06
08/14/01	2.05
08/15/01	2.01
08/16/01	2.01
08/17/01	1.99
08/20/01	1.96
08/21/01	1.98
08/22/01	1.98
08/23/01	2.04
08/24/01	2.00
08/27/01	2.01
08/28/01	2.01
08/29/01	2.01
08/30/01	2.02
08/31/01	2.01
09/03/01	2.01
09/04/01	2.00
09/05/01	1.99
09/06/01	1.93
09/07/01	1.99
09/10/01	2.01
09/11/01	2.01
09/12/01	2.01
09/13/01	2.03
09/14/01	1.98
09/17/01	1.96
09/18/01	1.93
09/19/01	1.90
09/20/01	1.89
09/21/01	1.90
09/24/01	1.88
09/25/01	1.88
09/26/01	1.89
09/27/01	1.89
09/28/01	1.88
10/01/01	1.85
10/02/01	1.83
10/03/01	1.86
10/04/01	1.86
10/05/01	1.88
10/08/01	1.89
10/09/01	1.87
10/10/01	1.87
10/11/01	1.86
10/12/01	1.81
10/15/01	1.79
10/16/01	1.82
10/17/01	1.83
10/18/01	1.81
10/19/01	1.81
10/22/01	1.79
10/23/01	1.79
10/24/01	1.83
10/25/01	1.82
10/26/01	1.81
10/29/01	1.81
10/30/01	1.83
10/31/01	1.84
11/01/01	1.82
11/02/01	1.80
11/05/01	1.84
11/06/01	1.84
11/07/01	1.85
11/08/01	1.86
11/09/01	1.89
11/12/01	1.90
11/13/01	1.89
11/14/01	1.90
11/15/01	1.90
11/16/01	1.92
11/19/01	1.96
11/20/01	1.96
11/21/01	1.96
11/22/01	1.96
11/23/01	1.96
11/26/01	1.91
11/27/01	1.95
11/28/01	1.91
11/29/01	1.91
11/30/01	1.97
12/03/01	1.98
12/04/01	2.00
12/05/01	1.98
12/06/01	1.95
12/07/01	1.98
12/10/01	2.02
12/11/01	2.01
12/12/01	1.97
12/13/01	1.98
12/14/01	1.98
12/17/01	1.97
12/18/01	1.97
12/19/01	1.98
12/20/01	1.96
12/21/01	1.95
12/24/01	1.99
12/25/01	1.99
12/26/01	1.91
12/27/01	1.92
12/28/01	1.93
12/31/01	1.92
01/01/02	1.92
01/02/02	1.93
01/03/02	1.95
01/04/02	1.95
01/07/02	1.96
01/08/02	1.97
01/09/02	1.94
01/10/02	1.93
01/11/02	1.97
01/14/02	1.95
01/15/02	1.96
01/16/02	1.99
01/17/02	1.96
01/18/02	1.95
01/21/02	1.95
01/22/02	1.93
01/23/02	1.93
01/24/02	1.94
01/25/02	1.93
01/28/02	1.92
01/29/02	1.91
01/30/02	1.91
01/31/02	1.92
02/01/02	1.91
02/04/02	1.91
02/05/02	1.92
02/06/02	1.90
02/07/02	1.90
02/08/02	1.91
02/11/02	1.91
02/12/02	1.93
02/13/02	1.95
02/14/02	1.95
02/15/02	1.92
02/18/02	1.92
02/19/02	1.93
02/20/02	1.96
02/21/02	1.96
02/22/02	1.93
02/25/02	1.89
02/26/02	1.89
02/27/02	1.89
02/28/02	1.91
03/01/02	1.91
03/04/02	1.91
03/05/02	1.93
03/06/02	1.92
03/07/02	1.92
03/08/02	1.92
03/11/02	1.93
03/12/02	1.95
03/13/02	1.92
03/14/02	1.93
03/15/02	1.92
03/18/02	1.92
03/19/02	1.92
03/20/02	1.92
03/21/02	1.92
03/22/02	1.91
03/25/02	1.90
03/26/02	1.91
03/27/02	1.92
03/28/02	1.90
03/29/02	1.90
04/01/02	1.92
04/02/02	1.91
04/03/02	1.89
04/04/02	1.89
04/05/02	1.89
04/08/02	1.90
04/09/02	1.90
04/10/02	1.89
04/11/02	1.88
04/12/02	1.88
04/15/02	1.85
04/16/02	1.88
04/17/02	1.89
04/18/02	1.88
04/19/02	1.89
04/22/02	1.89
04/23/02	1.89
04/24/02	1.88
04/25/02	1.88
04/26/02	1.86
04/29/02	1.84
04/30/02	1.85
05/01/02	1.88
05/02/02	1.86
05/03/02	1.86
05/06/02	1.88
