date	palm
01/1/2002	307.50
02/1/2002	307.50
03/1/2002	325.00
04/1/2002	325.00
07/1/2002	332.50
08/1/2002	335.00
09/1/2002	322.50
10/1/2002	325.00
11/1/2002	330.00
14/1/2002	330.00
15/1/2002	330.00
16/1/2002	328.30
17/1/2002	328.30
18/1/2002	330.00
21/1/2002	335.00
22/1/2002	340.00
23/1/2002	332.50
24/1/2002	325.80
25/1/2002	335.00
28/1/2002	330.00
29/1/2002	327.50
30/1/2002	322.50
31/1/2002	310.00
01/2/2002	327.50
04/2/2002	327.50
05/2/2002	333.00
06/2/2002	322.50
07/2/2002	320.00
08/2/2002	330.50
11/2/2002	325.50
12/2/2002	328.50
13/2/2002	321.50
14/2/2002	321.50
15/2/2002	320.00
18/2/2002	320.00
19/2/2002	320.00
20/2/2002	320.00
21/2/2002	330.00
22/2/2002	335.00
25/2/2002	335.00
26/2/2002	335.00
27/2/2002	335.00
28/2/2002	335.00
01/3/2002	335.00
04/3/2002	337.50
05/3/2002	332.50
06/3/2002	335.00
07/3/2002	335.00
08/3/2002	337.50
11/3/2002	330.00
12/3/2002	330.00
13/3/2002	332.50
14/3/2002	335.00
15/3/2002	340.00
18/3/2002	340.00
19/3/2002	337.00
20/3/2002	328.80
21/3/2002	329.60
22/3/2002	333.30
25/3/2002	346.70
26/3/2002	320.40
27/3/2002	320.20
28/3/2002	327.10
29/3/2002	327.10
01/4/2002	327.10
02/4/2002	330.00
03/4/2002	330.00
04/4/2002	335.00
05/4/2002	340.00
08/4/2002	340.00
09/4/2002	337.50
10/4/2002	347.50
11/4/2002	347.50
12/4/2002	347.50
15/4/2002	352.50
16/4/2002	336.70
17/4/2002	341.70
18/4/2002	333.50
19/4/2002	342.50
22/4/2002	357.50
23/4/2002	357.50
24/4/2002	362.50
25/4/2002	369.20
26/4/2002	386.70
29/4/2002	371.70
30/4/2002	389.20
01/5/2002	389.20
02/5/2002	360.00
03/5/2002	357.50
06/5/2002	355.00
07/5/2002	355.00
08/5/2002	355.00
09/5/2002	355.00
10/5/2002	365.00
13/5/2002	362.50
14/5/2002	365.00
15/5/2002	362.50
16/5/2002	365.00
17/5/2002	367.50
20/5/2002	367.50
21/5/2002	380.00
22/5/2002	385.00
23/5/2002	387.50
24/5/2002	390.00
27/5/2002	390.00
28/5/2002	400.00
29/5/2002	400.00
30/5/2002	400.00
31/5/2002	400.00
03/6/2002	410.00
04/6/2002	410.00
05/6/2002	417.50
06/6/2002	425.00
07/6/2002	425.00
10/6/2002	410.00
11/6/2002	417.50
12/6/2002	420.00
13/6/2002	405.00
14/6/2002	420.00
17/6/2002	420.00
18/6/2002	407.50
19/6/2002	410.00
20/6/2002	404.20
21/6/2002	404.20
24/6/2002	415.20
25/6/2002	409.60
26/6/2002	403.30
27/6/2002	396.70
28/6/2002	391.70
01/7/2002	397.50
02/7/2002	387.50
03/7/2002	380.00
04/7/2002	380.00
05/7/2002	382.50
08/7/2002	387.50
09/7/2002	387.50
10/7/2002	392.50
11/7/2002	397.50
12/7/2002	397.50
15/7/2002	420.00
16/7/2002	412.50
17/7/2002	410.00
18/7/2002	405.00
19/7/2002	405.00
22/7/2002	425.00
23/7/2002	415.00
24/7/2002	417.50
25/7/2002	417.50
26/7/2002	410.00
29/7/2002	412.50
30/7/2002	412.50
31/7/2002	412.50
01/8/2002	427.50
02/8/2002	425.00
05/8/2002	425.00
06/8/2002	425.00
07/8/2002	415.00
08/8/2002	415.50
09/8/2002	416.00
12/8/2002	427.50
13/8/2002	425.00
14/8/2002	430.00
15/8/2002	430.00
16/8/2002	432.50
19/8/2002	430.00
20/8/2002	432.50
21/8/2002	435.00
22/8/2002	430.00
23/8/2002	430.00
26/8/2002	435.00
27/8/2002	422.50
28/8/2002	432.50
29/8/2002	415.00
30/8/2002	417.50
02/9/2002	427.50
03/9/2002	425.00
04/9/2002	422.50
05/9/2002	412.50
06/9/2002	412.50
09/9/2002	410.00
10/9/2002	410.00
11/9/2002	415.00
12/9/2002	415.00
13/9/2002	415.00
16/9/2002	415.00
17/9/2002	415.00
18/9/2002	415.00
19/9/2002	415.00
20/9/2002	415.00
23/9/2002	415.00
24/9/2002	415.00
25/9/2002	415.00
26/9/2002	415.00
27/9/2002	415.00
30/9/2002	415.00
01/10/2002	389.20
02/10/2002	386.70
03/10/2002	388.30
04/10/2002	388.30
07/10/2002	388.30
08/10/2002	395.80
09/10/2002	397.50
10/10/2002	397.50
11/10/2002	397.50
14/10/2002	410.00
15/10/2002	410.00
16/10/2002	415.00
17/10/2002	410.00
18/10/2002	412.50
21/10/2002	415.00
22/10/2002	417.50
23/10/2002	420.00
24/10/2002	420.00
25/10/2002	422.50
28/10/2002	422.50
29/10/2002	422.50
30/10/2002	422.50
31/10/2002	421.70
01/11/2002	421.70
04/11/2002	442.50
05/11/2002	437.50
06/11/2002	440.00
07/11/2002	445.00
08/11/2002	437.50
11/11/2002	437.50
12/11/2002	447.50
13/11/2002	432.50
14/11/2002	437.50
15/11/2002	442.50
18/11/2002	437.50
19/11/2002	437.50
20/11/2002	437.50
21/11/2002	440.00
22/11/2002	437.50
25/11/2002	435.00
26/11/2002	435.00
27/11/2002	435.00
28/11/2002	439.00
29/11/2002	442.50
02/12/2002	442.50
03/12/2002	452.50
04/12/2002	450.00
05/12/2002	452.50
06/12/2002	452.50
09/12/2002	447.50
10/12/2002	447.50
11/12/2002	450.00
12/12/2002	450.00
13/12/2002	452.50
16/12/2002	457.50
17/12/2002	462.50
18/12/2002	460.00
19/12/2002	465.00
20/12/2002	465.00
23/12/2002	467.50
24/12/2002	470.00
25/12/2002	470.00
26/12/2002	470.00
27/12/2002	470.00
30/12/2002	470.00
31/12/2002	470.00
01/1/2003	470.00
02/1/2003	457.50
03/1/2003	452.50
06/1/2003	460.00
07/1/2003	460.00
08/1/2003	462.50
09/1/2003	462.50
10/1/2003	457.50
13/1/2003	457.50
14/1/2003	462.50
15/1/2003	457.50
16/1/2003	455.00
17/1/2003	452.50
20/1/2003	452.50
21/1/2003	445.00
22/1/2003	455.00
23/1/2003	455.00
24/1/2003	452.50
27/1/2003	455.00
28/1/2003	450.00
29/1/2003	452.50
30/1/2003	452.50
31/1/2003	452.50
03/2/2003	452.50
04/2/2003	457.50
05/2/2003	455.00
06/2/2003	452.50
07/2/2003	447.50
10/2/2003	450.00
11/2/2003	450.00
12/2/2003	450.00
13/2/2003	442.50
14/2/2003	442.50
17/2/2003	445.00
18/2/2003	445.00
19/2/2003	445.00
20/2/2003	457.50
21/2/2003	457.50
24/2/2003	457.50
25/2/2003	457.50
26/2/2003	457.50
27/2/2003	450.00
28/2/2003	450.00
03/3/2003	442.50
04/3/2003	440.00
05/3/2003	432.50
06/3/2003	435.00
07/3/2003	435.00
10/3/2003	432.50
11/3/2003	432.50
12/3/2003	435.00
13/3/2003	430.00
14/3/2003	435.00
17/3/2003	435.00
18/3/2003	430.00
19/3/2003	435.00
20/3/2003	425.00
21/3/2003	425.00
24/3/2003	425.00
25/3/2003	425.00
26/3/2003	425.00
27/3/2003	425.00
28/3/2003	425.00
31/3/2003	425.00
01/4/2003	410.00
02/4/2003	415.00
03/4/2003	430.00
04/4/2003	420.00
07/4/2003	432.50
08/4/2003	425.00
09/4/2003	425.00
10/4/2003	425.00
11/4/2003	420.00
14/4/2003	415.00
15/4/2003	415.00
16/4/2003	415.00
17/4/2003	417.50
18/4/2003	417.50
21/4/2003	417.50
22/4/2003	417.50
23/4/2003	417.50
24/4/2003	417.50
25/4/2003	417.50
28/4/2003	417.50
29/4/2003	417.50
30/4/2003	417.50
01/5/2003	417.50
02/5/2003	407.50
05/5/2003	410.00
06/5/2003	405.00
07/5/2003	412.50
08/5/2003	412.50
09/5/2003	412.50
12/5/2003	425.00
13/5/2003	422.50
14/5/2003	425.00
15/5/2003	425.00
16/5/2003	435.00
19/5/2003	435.00
20/5/2003	430.00
21/5/2003	432.50
22/5/2003	437.50
23/5/2003	437.50
26/5/2003	437.50
27/5/2003	437.50
28/5/2003	437.50
29/5/2003	437.50
